Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
ADBL,245.10,-0.16,247.00,244.50,244.50,"35,252",,
AHPC,278.00,-0.39,284.00,276.50,284.00,"166,746",,
AKJCL,222.00,-0.85,228.00,218.00,228.00,"77,176",,
AKPL,208.00,-0.48,213.10,205.90,212.90,"438,666",,
ALBSL,699.00,-1.55,724.00,695.00,724.00,"3,549",,
ALICL,681.50,-0.37,688.00,675.10,675.10,"54,007",,
API,209.00,-0.95,212.90,205.00,212.00,"435,590",,
BARUN,248.90,-0.36,255.00,244.90,244.90,"52,859",,
BBC,"3,655.00",-0.68,"3,727.00","3,651.00","3,700.00",324,,
BFC,323.00,-0.31,325.00,317.80,320.00,"15,489",,
BHPL,450.00,-1.06,463.80,446.00,446.00,"5,351",,
BNT,"12,001.00",-1.77,"12,247.50","11,930.00","12,210.00",755,,
BPCL,313.60,-0.76,322.30,312.00,313.20,"21,309",,
BPW,"1,416.20",-1.03,"1,450.00","1,416.20","1,440.00",420,,
CBBL,873.00,-0.34,880.00,865.00,880.00,"3,383",,
CCBD88,952.00,-3.84,970.20,952.00,970.20,100,,
CHCL,491.00,-1.19,497.00,490.00,496.00,"47,480",,
CHDC,"1,001.10",-1.85,"1,021.00",985.00,"1,000.00","10,947",,
CITY,647.70,-1.71,663.00,633.00,650.00,"10,842",,
CIZBD86,990.00,-0.1,990.00,990.00,990.00,25,,
CLI,453.00,-0.88,461.00,451.20,456.00,"36,291",,
CMF2,8.12,-5.03,8.38,8.08,8.38,"33,545",,
CORBL,370.00,-1.6,375.00,365.10,374.00,"5,467",,
CYCL,"1,162.00",-1.53,"1,200.00","1,148.00","1,200.00","4,488",,
CZBIL,170.00,-1.68,175.00,168.90,175.00,"47,418",,
DDBL,785.00,-0.38,797.70,782.20,782.20,"2,549",,
DLBS,792.00,-4.35,833.00,790.00,828.00,"2,062",,
DOLTI,329.00,-0.99,344.00,325.70,325.70,"23,188",,
DORDI,405.90,-3.36,413.00,389.40,413.00,"52,341",,
EBLD85,"1,000.00",-1.48,"1,000.00",990.00,996.00,185,,
EDBL,358.00,-0.28,358.40,351.00,355.10,"14,747",,
ENL,815.00,-1.21,833.00,812.10,812.10,"2,548",,
FMDBL,620.00,-1.59,633.00,617.50,626.20,"17,136",,
GBBL,382.00,-0.26,388.00,378.00,388.00,"29,734",,
GBLBS,554.00,-0.89,568.90,542.00,568.90,"5,120",,
GCIL,507.00,-1.36,518.80,499.00,506.10,"55,583",,
GHL,179.90,-2.23,191.00,178.00,187.60,"54,201",,
GILB,852.00,-0.7,874.00,842.00,842.10,"2,679",,
GLH,243.00,-1.42,250.00,242.00,246.00,"11,017",,
GVL,446.80,-0.71,452.00,433.70,450.10,"19,194",,
H8020,8.83,-0.79,8.97,8.61,8.74,"4,100",,
HATHY,882.00,-3.4,931.00,878.00,931.00,"76,487",,
HDHPC,152.00,-0.65,157.00,151.00,153.00,"344,454",,
HDL,"1,674.00",-0.36,"1,699.00","1,670.00","1,684.00","16,434",,
HEIP,392.00,-2.49,410.00,386.00,407.00,"3,905",,
HHL,327.00,-0.3,334.50,322.00,333.90,"18,510",,
HIDCL,192.00,-2.04,199.80,190.20,199.80,"156,809",,
HLBSL,626.00,-1.11,658.00,600.00,645.60,"9,562",,
HLI,410.10,-0.22,415.00,405.00,415.00,"62,096",,
HRL,646.80,-1.55,661.00,645.10,657.00,"439,859",,
HURJA,283.60,-0.14,293.00,282.00,289.00,"48,704",,
ICFC,479.90,-0.44,486.10,470.00,486.00,"31,090",,
IGI,560.00,-2.18,583.90,556.70,583.90,"76,589",,
ILI,536.00,-1.11,547.00,535.00,540.10,"45,778",,
JALPA,"1,165.10",-0.93,"1,199.00","1,152.50","1,160.00",505,,
JOSHI,258.00,-1.9,266.70,252.90,258.00,"39,752",,
KDL,859.10,-1.12,885.00,858.00,875.00,"6,752",,
KKHC,233.00,-0.43,240.00,227.10,238.60,"18,886",,
KLBSL,842.40,-0.01,842.40,811.10,827.00,"1,068",,
KMCDB,645.00,-3.01,671.00,641.90,671.00,"1,151",,
KRBL,360.00,-1.21,369.00,353.10,369.00,"11,768",,
LEMF,9.07,-0.55,9.14,8.97,9.12,"14,750",,
LICN,"1,389.10",-0.14,"1,414.00","1,388.60","1,400.00","2,418",,
LLBS,772.00,-0.25,785.00,745.00,760.10,"3,094",,
LSL,168.70,-0.65,174.90,168.70,171.50,"63,299",,
MANDU,699.00,-0.14,699.00,680.00,686.00,"13,068",,
MDB,412.60,-0.34,421.00,408.00,415.00,"17,751",,
MEHL,289.60,-0.48,296.00,280.30,293.00,"22,221",,
MEL,226.20,-0.92,234.50,225.00,225.00,"52,092",,
MEN,619.60,-0.23,632.00,618.10,625.00,"114,574",,
MERO,565.00,-0.35,578.00,556.20,578.00,"2,285",,
MFIL,511.00,-0.39,520.00,510.00,510.00,"13,903",,
MKCL,990.00,-2.94,"1,025.00",973.30,"1,015.00","34,647",,
MKHC,270.00,-3.23,280.00,264.60,275.00,"31,110",,
MKJC,446.00,-0.89,468.00,442.30,448.00,"3,600",,
MLBBL,795.00,-0.5,796.00,769.00,784.00,338,,
MLBL,334.00,-1.18,340.00,325.00,340.00,"20,378",,
MLBSL,"1,800.00",-0.55,"1,810.00","1,790.00","1,810.00",533,,
MMF1,7.21,-0.41,7.30,7.15,7.15,"41,600",,
MMFDB,570.00,-3.39,590.00,570.00,590.00,"10,287",,
MMKJL,401.00,-0.25,417.00,390.20,394.10,"8,605",,
MSLB,895.00,-4.1,930.00,894.00,930.00,"1,500",,
NABBC,400.10,-2.13,416.90,398.00,416.00,"4,494",,
NADEP,560.00,-2.44,570.00,549.80,566.00,"6,068",,
NBF3,7.50,-0.53,7.50,7.31,7.39,"33,150",,
NBL,234.90,-0.34,235.70,233.00,234.00,"59,899",,
NBLD87,815.00,-0.85,820.00,806.20,806.20,75,,
NCCD86,910.00,-1.32,910.00,910.00,910.00,25,,
NESDO,"1,674.90",-1.48,"1,699.00","1,642.20","1,666.00",687,,
NHPC,171.90,-0.64,176.00,171.00,176.00,"165,183",,
NICAD8283,"1,000.00",-1.19,"1,000.00","1,000.00","1,000.00",50,,
NICBF,8.47,-1.63,8.50,8.45,8.45,"2,200",,
NICL,890.00,-0.58,910.00,872.00,895.20,"37,071",,
NICSF,9.03,-0.77,9.04,9.00,9.01,"18,450",,
NIMB,173.60,-0.23,176.00,173.00,173.00,"84,583",,
NIMBPO,141.50,-0.84,145.50,139.90,139.90,"485,592",,
NLBBL,593.90,-0.18,598.00,583.20,583.50,"2,688",,
NLG,804.00,-0.99,820.00,804.00,815.00,"3,144",,
NLIC,625.00,-0.32,637.00,625.00,634.00,"37,353",,
NMB50,9.57,-3.82,10.10,9.57,9.80,"1,300",,
NMBMF,548.00,-2.14,552.00,538.20,550.00,"3,263",,
NMFBS,"1,147.00",-1.97,"1,170.00","1,147.00","1,170.00","1,641",,
NRIC,725.10,-0.12,739.50,720.10,721.20,"72,934",,
NRM,393.00,-1.13,405.00,388.50,400.00,"52,688",,
NRN,590.00,-1.99,609.90,586.20,604.00,"130,099",,
NSIF2,9.07,-2.16,9.09,8.96,9.09,"1,200",,
NTC,867.90,-0.24,876.00,860.10,870.00,"23,071",,
NUBL,662.00,-1.34,670.00,657.70,658.00,"9,405",,
NWCL,865.00,-1.42,891.00,858.00,868.00,"27,013",,
NYADI,282.00,-1.74,287.00,276.00,281.70,"10,133",,
OHL,797.80,-0.15,797.80,776.00,785.10,"3,244",,
PHCL,317.00,-0.94,323.50,316.00,316.00,"27,788",,
PMHPL,251.00,-3.09,259.00,247.00,254.10,"27,254",,
PPCL,248.60,-1.19,256.60,248.20,256.60,"20,517",,
PRSF,8.58,-1.15,8.58,8.56,8.56,700,,
RADHI,266.00,-2.03,273.30,264.00,268.10,"110,056",,
RAWA,435.00,-0.46,442.00,426.00,440.00,"9,456",,
RBCL,"14,100.10",-1.19,"14,200.00","14,062.70","14,157.20",182,,
RBCLPO,"10,801.00",-1.46,"11,179.00","10,801.00","11,179.00",160,,
RFPL,312.90,-0.98,318.70,303.60,309.70,"36,082",,
RLFL,379.00,-0.26,382.00,365.00,382.00,"35,454",,
RMF2,8.27,-0.36,8.43,8.26,8.26,"1,300",,
RNLI,570.00,-0.35,575.00,568.00,572.00,"123,970",,
RSDC,559.00,-0.16,563.00,552.00,552.00,"4,765",,
RURU,732.00,-0.95,732.00,725.00,730.00,125,,
SABSL,631.00,-2.62,640.00,618.10,640.00,783,,
SADBL,299.00,-0.4,304.00,297.10,301.50,"25,667",,
SAHAS,550.00,-0.22,561.00,544.00,550.00,"20,171",,
SALICO,700.00,-0.16,702.00,692.00,702.00,"6,598",,
SBCF,7.95,-1.85,8.40,7.94,8.15,"278,469",,
SBI,297.00,-0.67,299.00,294.00,299.00,"10,428",,
SBIBD86,979.00,-0.02,979.00,979.00,979.00,25,,
SBL,235.10,-1.55,240.00,234.10,238.10,"40,477",,
SBLD83,995.00,-1.82,995.00,995.00,995.00,25,,
SBLD84,847.60,-0.87,847.60,822.00,838.00,200,,
SFCL,308.00,-0.32,321.00,304.00,309.00,"16,705",,
SGIC,534.50,-3.14,545.00,532.70,543.00,"73,579",,
SHL,461.00,-1.35,472.00,455.70,468.00,"62,533",,
SHLB,952.00,-3.84,990.00,951.00,990.00,485,,
SHPC,351.00,-0.99,357.00,348.00,354.00,"41,838",,
SIFC,350.00,-1.13,357.00,345.00,353.00,"10,440",,
SJLIC,512.00,-1.54,526.00,508.00,520.00,"37,182",,
SKBBL,860.30,-0.43,870.00,856.30,856.30,"7,573",,
SMATA,625.00,-0.32,634.40,615.10,615.10,"3,589",,
SMB,969.60,-0.04,986.00,950.60,986.00,55,,
SMFBS,891.00,-1.66,899.90,888.00,888.00,138,,
SMH,573.50,-2,591.00,573.50,575.10,"2,005",,
SMJC,341.10,-1.13,353.00,341.10,341.10,"27,874",,
SONA,468.90,-0.06,480.00,460.00,460.00,"147,646",,
SPDL,259.00,-0.77,267.00,256.00,266.00,"81,584",,
SRLI,459.00,-1.29,468.80,456.60,463.00,"19,423",,
SWBBL,764.70,-1.33,778.00,759.50,778.00,"4,445",,
SWMF,663.90,-0.02,677.00,654.00,677.00,"1,525",,
TPC,576.00,-4.05,610.00,550.80,610.00,"9,029",,
TRH,816.30,-1.41,839.00,805.00,821.10,"4,575",,
ULHC,299.00,-2.92,314.10,298.00,303.80,"43,612",,
UMHL,264.90,-2.07,275.00,259.00,275.00,"107,691",,
UMRH,380.00,-1.3,390.00,377.60,378.10,"42,093",,
UNLB,"1,116.00",-2.1,"1,208.00","1,094.00","1,162.00",488,,
UPCL,223.00,-0.71,228.90,220.20,228.90,"86,210",,
UPPER,217.00,-1.36,223.00,216.00,216.00,"73,150",,
USHL,516.90,-1.35,533.90,499.00,513.60,"11,296",,
VLBS,636.10,-2.14,646.00,635.00,640.00,"1,613",,
VLUCL,505.00,-0.86,515.00,496.10,509.40,"28,866",,
WNLB,843.00,-1.86,923.10,842.00,842.00,"1,640",,
